country_name,year,country_code,repeaters
Argentina,1970,ARG,11.38488
Argentina,1971,ARG,10.37942
Argentina,1972,ARG,
Argentina,1973,ARG,
Argentina,1974,ARG,9.8172398
Argentina,1975,ARG,8.6526899
Argentina,1976,ARG,8.1134596
Argentina,1977,ARG,
Argentina,1978,ARG,
Argentina,1979,ARG,
Argentina,1980,ARG,
Argentina,1981,ARG,
Argentina,1982,ARG,
Argentina,1983,ARG,
Argentina,1984,ARG,
Argentina,1985,ARG,
Argentina,1986,ARG,
Argentina,1987,ARG,
Argentina,1988,ARG,
Argentina,1989,ARG,
Argentina,1990,ARG,
Argentina,1991,ARG,
Argentina,1992,ARG,
Argentina,1993,ARG,
Argentina,1994,ARG,5.5771899
Argentina,1995,ARG,
Argentina,1996,ARG,5.5652699
Argentina,1997,ARG,5.2732701
Argentina,1998,ARG,5.4667001
Argentina,1999,ARG,5.9442301
Argentina,2000,ARG,6.14958
Bolivia,1970,BOL,
Bolivia,1971,BOL,
Bolivia,1972,BOL,
Bolivia,1973,BOL,
Bolivia,1974,BOL,
Bolivia,1975,BOL,
Bolivia,1976,BOL,
Bolivia,1977,BOL,
Bolivia,1978,BOL,
Bolivia,1979,BOL,
Bolivia,1980,BOL,
Bolivia,1981,BOL,
Bolivia,1982,BOL,
Bolivia,1983,BOL,
Bolivia,1984,BOL,
Bolivia,1985,BOL,
Bolivia,1986,BOL,
Bolivia,1987,BOL,
Bolivia,1988,BOL,
Bolivia,1989,BOL,
Bolivia,1990,BOL,
Bolivia,1991,BOL,
Bolivia,1992,BOL,
Bolivia,1993,BOL,
Bolivia,1994,BOL,
Bolivia,1995,BOL,
Bolivia,1996,BOL,
Bolivia,1997,BOL,
Bolivia,1998,BOL,
Bolivia,1999,BOL,
Bolivia,2000,BOL,
Brazil,1970,BRA,19.2407
Brazil,1971,BRA,16.121481
Brazil,1972,BRA,18.031919
Brazil,1973,BRA,18.10417
Brazil,1974,BRA,17.584419
Brazil,1975,BRA,17.172951
Brazil,1976,BRA,19.254829
Brazil,1977,BRA,21.31757
Brazil,1978,BRA,21.58182
Brazil,1979,BRA,17.615061
Brazil,1980,BRA,21.6938
Brazil,1981,BRA,21.700491
Brazil,1982,BRA,21.750589
Brazil,1983,BRA,
Brazil,1984,BRA,20.9128
Brazil,1985,BRA,19.58827
Brazil,1986,BRA,
Brazil,1987,BRA,19.829451
Brazil,1988,BRA,
Brazil,1989,BRA,
Brazil,1990,BRA,
Brazil,1991,BRA,
Brazil,1992,BRA,18.14645
Brazil,1993,BRA,18.3859
Brazil,1994,BRA,19.12068
Brazil,1995,BRA,
Brazil,1996,BRA,
Brazil,1997,BRA,
Brazil,1998,BRA,
Brazil,1999,BRA,24.044121
Brazil,2000,BRA,25.011271
Chile,1970,CHL,11.62474
Chile,1971,CHL,8.9005899
Chile,1972,CHL,9.1065197
Chile,1973,CHL,12.45094
Chile,1974,CHL,12.95822
Chile,1975,CHL,13.3911
Chile,1976,CHL,13.32612
Chile,1977,CHL,13.76415
Chile,1978,CHL,
Chile,1979,CHL,
Chile,1980,CHL,
Chile,1981,CHL,
Chile,1982,CHL,
Chile,1983,CHL,8.0335503
Chile,1984,CHL,
Chile,1985,CHL,
Chile,1986,CHL,
Chile,1987,CHL,
Chile,1988,CHL,
Chile,1989,CHL,
Chile,1990,CHL,
Chile,1991,CHL,
Chile,1992,CHL,
Chile,1993,CHL,
Chile,1994,CHL,
Chile,1995,CHL,
Chile,1996,CHL,
Chile,1997,CHL,4.1531701
Chile,1998,CHL,
Chile,1999,CHL,
Chile,2000,CHL,
Colombia,1970,COL,16.61191
Colombia,1971,COL,16.13698
Colombia,1972,COL,16.02593
Colombia,1973,COL,15.3733
Colombia,1974,COL,15.35765
Colombia,1975,COL,
